NUM_NS,SOMA_BASE_CR,DATA
1220101034,20968.98,15/08/2025
1220119135,0.0,15/08/2025
1220264700,0.0,15/08/2025
1220384630,32634.0,15/08/2025
1220447703,23161.47,15/08/2025
1220544200,5748.89,15/08/2025
1220546188,10753.0,15/08/2025
1220573311,0.0,15/08/2025
1220645639,12852.53,15/08/2025
1220725844,16903.0,15/08/2025
1220851360,30117.0,15/08/2025
1221031185,37952.0,15/08/2025
1221139176,18053.0,15/08/2025
1221316542,50489.0,15/08/2025
1221389124,32640.0,15/08/2025
1221436397,12227.44,15/08/2025
1221537594,17694.0,15/08/2025
1221552315,0.0,15/08/2025
1221593432,64721.36,15/08/2025
1221596341,37587.0,15/08/2025
1221664844,12288.32,15/08/2025
1221688847,11928.35,15/08/2025
1221689560,1.62,15/08/2025
1221690695,10430.58,15/08/2025
1221716574,0.0,15/08/2025
1221820586,10804.2,15/08/2025
1221860275,1513.99,15/08/2025
1221870929,10069.93,15/08/2025
1221877532,16968.58,15/08/2025
1221937364,3070.02,15/08/2025
1222043370,23213.0,15/08/2025
1222057009,11784.52,15/08/2025
1222061108,36338.0,15/08/2025
1222061761,33564.0,15/08/2025
1222138193,30727.0,15/08/2025
1222189495,0.0,15/08/2025
1222208650,87150.0,15/08/2025
1222261275,42566.0,15/08/2025
1222290503,17253.0,15/08/2025
1222306268,69531.0,15/08/2025
1222332734,27273.0,15/08/2025
1222333922,20153.0,15/08/2025
1222437172,81677.0,15/08/2025
1222493459,11577.01,15/08/2025
1222593466,11615.76,15/08/2025
1222606867,41898.0,15/08/2025
1222656244,16209.0,15/08/2025
1222735096,39682.240000000005,15/08/2025
1222757447,12084.0,15/08/2025
1222806696,33752.0,15/08/2025
1222808773,27630.0,15/08/2025
1222864344,1070.0,15/08/2025
1222878308,26308.0,15/08/2025
1222929151,18470.99,15/08/2025
1222976971,18758.0,15/08/2025
1223041999,37913.0,15/08/2025
1223042985,12642.76,15/08/2025
1223044051,56041.0,15/08/2025
1223094275,2200.52,15/08/2025
1223095017,1299.22,15/08/2025
1223131868,1441.0,15/08/2025
1223132520,25151.0,15/08/2025
1223154865,53246.0,15/08/2025
1223239574,9894.66,15/08/2025
1223247528,10994.64,15/08/2025
1223287429,53537.0,15/08/2025
1223316663,16151.0,15/08/2025
1223318361,21104.0,15/08/2025
1223439812,45212.0,15/08/2025
1223447977,23919.0,15/08/2025
1223490553,18204.9,15/08/2025
1223497704,16426.0,15/08/2025
1223503131,17434.0,15/08/2025
1223517612,15429.0,15/08/2025
1223555051,56377.0,15/08/2025
1223567265,3253.02,15/08/2025
1223613355,60858.0,15/08/2025
1223629820,2917.0,15/08/2025
1223635163,3.52,15/08/2025
1223922994,32768.0,15/08/2025
1224012404,17176.0,15/08/2025
1224127316,15996.0,15/08/2025
1224132856,70401.0,15/08/2025
1224200351,37017.0,15/08/2025
1224317893,10507.75,15/08/2025
1224319981,14707.0,15/08/2025
1224379737,2837.05,15/08/2025
1224382452,12967.61,15/08/2025
1224513338,8409.01,15/08/2025
1224606611,20638.0,15/08/2025
1224633530,8989.0,15/08/2025
1224682523,2514.64,15/08/2025
1224722975,15069.0,15/08/2025
1224735983,10554.39,15/08/2025
1224765942,12788.5,15/08/2025
1224847099,11917.61,15/08/2025
1224853538,23383.0,15/08/2025
1224935953,19397.0,15/08/2025
1224938282,30031.0,15/08/2025
1224942652,11754.39,15/08/2025
1225002231,5526.0,15/08/2025
1225082306,101039.0,15/08/2025
1225313400,10693.99,15/08/2025
1225391989,17456.0,15/08/2025
1225428654,13775.2,15/08/2025
1225474375,11979.0,15/08/2025
1225539289,18159.0,15/08/2025
1225543757,23068.0,15/08/2025
1225544382,50748.0,15/08/2025
1225625660,11889.61,15/08/2025
1225862379,18194.0,15/08/2025
1226019663,15481.0,15/08/2025
1226098402,18316.0,15/08/2025
1226116181,20747.0,15/08/2025
1226119526,14169.0,15/08/2025
1226287208,14241.34,15/08/2025
1226371441,11925.12,15/08/2025
1226561387,16273.0,15/08/2025
1226574799,10629.58,15/08/2025
1226868332,0.0,15/08/2025
1226979210,12414.92,15/08/2025
1227379647,10581.97,15/08/2025
1227640713,14854.62,15/08/2025
1227909385,3084.72,15/08/2025
1228430646,10805.21,15/08/2025
2000029656,359458.0,15/08/2025
2000036231,20817.0,15/08/2025
2000038214,3490.54,15/08/2025
2000038320,332230.18,15/08/2025
2000038481,282591.0,15/08/2025
2000038586,217887.0,15/08/2025
2000038731,729769.0,15/08/2025
2000043470,370762.0,15/08/2025
2000045310,545183.0,15/08/2025
2000050579,210209.0,15/08/2025
2000054336,13560.11,15/08/2025
2000054767,89438.13,15/08/2025
2000055673,709029.0,15/08/2025
2000056826,63573.03,15/08/2025
2000057105,310901.0,15/08/2025
2000061050,64081.0,15/08/2025
2000061058,90354.0,15/08/2025
2000061107,76355.0,15/08/2025
2000061116,58084.0,15/08/2025
2000061119,76042.0,15/08/2025
2000061121,58301.0,15/08/2025
2000061165,117971.0,15/08/2025
2000062473,61236.0,15/08/2025
2000062527,92133.0,15/08/2025
2000062528,74737.0,15/08/2025
2000066912,54950.0,15/08/2025
2000066919,63420.0,15/08/2025
2000066926,44550.0,15/08/2025
2000066929,41947.0,15/08/2025
2000067064,29530.0,15/08/2025
2000067581,67364.0,15/08/2025
2000067581,4048.0,15/08/2025
2000068007,60563.0,15/08/2025
2000068010,61542.0,15/08/2025
2000068551,42685.0,15/08/2025
2000069054,296120.86,15/08/2025
1180914945,14294.279999999999,15/08/2025
1191589285,20411.940000000002,15/08/2025
1199057550,449.28000000000003,15/08/2025
1217647952,12138.710000000001,15/08/2025
